Table,Column,Total Rows,Non-null Count,Completeness (%)
substitutions,coming_on,6464,6464,100.0
team_appearances,key_id,1800,1800,100.0
team_appearances,tournament_id,1800,1800,100.0
team_appearances,tournament_name,1800,1800,100.0
team_appearances,match_id,1800,1800,100.0
team_appearances,match_name,1800,1800,100.0
team_appearances,stage_name,1800,1800,100.0
team_appearances,group_name,1800,1800,100.0
team_appearances,group_stage,1800,1800,100.0
team_appearances,knockout_stage,1800,1800,100.0
team_appearances,replayed,1800,1800,100.0
team_appearances,replay,1800,1800,100.0
team_appearances,match_date,1800,1800,100.0
team_appearances,match_time,1800,1800,100.0
team_appearances,stadium_id,1800,1800,100.0
team_appearances,stadium_name,1800,1800,100.0
team_appearances,city_name,1800,1800,100.0
team_appearances,country_name,1800,1800,100.0
team_appearances,team_id,1800,1800,100.0
team_appearances,team_name,1800,1800,100.0
team_appearances,team_code,1800,1800,100.0
team_appearances,opponent_id,1800,1800,100.0
team_appearances,opponent_name,1800,1800,100.0
team_appearances,opponent_code,1800,1800,100.0
team_appearances,home_team,1800,1800,100.0
team_appearances,away_team,1800,1800,100.0
team_appearances,goals_for,1800,1800,100.0
team_appearances,goals_against,1800,1800,100.0
team_appearances,goal_differential,1800,1800,100.0
team_appearances,extra_time,1800,1800,100.0
team_appearances,penalty_shootout,1800,1800,100.0
team_appearances,penalties_for,1800,1800,100.0
team_appearances,penalties_against,1800,1800,100.0
team_appearances,result,1800,1800,100.0
team_appearances,win,1800,1800,100.0
team_appearances,lose,1800,1800,100.0
team_appearances,draw,1800,1800,100.0
teams,key_id,84,84,100.0
teams,team_id,84,84,100.0
teams,team_name,84,84,100.0
teams,team_code,84,84,100.0
teams,federation_name,84,84,100.0
teams,region_name,84,84,100.0
teams,confederation_id,84,84,100.0
teams,confederation_name,84,84,100.0
teams,confederation_code,84,84,100.0
teams,team_wikipedia_link,84,84,100.0
teams,federation_wikipedia_link,84,84,100.0
tournament_stages,key_id,107,107,100.0
tournament_stages,tournament_id,107,107,100.0
tournament_stages,tournament_name,107,107,100.0
tournament_stages,stage_number,107,107,100.0
tournament_stages,stage_name,107,107,100.0
tournament_stages,group_stage,107,107,100.0
tournament_stages,knockout_stage,107,107,100.0
tournament_stages,unbalanced_groups,107,107,100.0
