Match_ID,Home_Team_Score,Away_Team_Score,Accuracy_Status
M-1986-41,0,2,Accurate
M-1986-42,0,1,Accurate
M-1986-43,3,0,Accurate
M-1986-44,1,5,Accurate
M-1986-45,1,1,Accurate
M-1986-46,0,0,Accurate
M-1986-47,2,1,Accurate
M-1986-48,1,1,Accurate
M-1986-49,0,2,Accurate
M-1986-50,2,0,Accurate
M-1986-51,2,4,Accurate
M-1986-52,3,2,Accurate
M-1990-01,0,1,Accurate
M-1990-02,0,2,Accurate
M-1990-03,0,2,Accurate
M-1990-04,1,0,Accurate
M-1990-05,1,5,Accurate
M-1990-06,2,1,Accurate
M-1990-07,4,1,Accurate
M-1990-08,1,0,Accurate
M-1990-09,1,1,Accurate
M-1990-10,2,0,Accurate
M-1990-11,1,1,Accurate
M-1990-12,0,0,Accurate
M-1990-13,2,0,Accurate
M-1990-14,2,1,Accurate
M-1990-15,1,0,Accurate
M-1990-16,1,0,Accurate
M-1990-17,0,1,Accurate
M-1990-18,5,1,Accurate
M-1990-19,1,0,Accurate
M-1990-20,1,2,Accurate
M-1990-21,0,0,Accurate
M-1990-22,0,0,Accurate
M-1990-23,3,1,Accurate
M-1990-24,1,3,Accurate
M-1990-25,1,1,Accurate
M-1990-26,0,4,Accurate
M-1990-27,1,1,Accurate
M-1990-28,4,1,Accurate
M-1990-29,2,1,Accurate
M-1990-30,2,0,Accurate
M-1990-31,1,0,Accurate
M-1990-32,1,2,Accurate
M-1990-33,1,2,Accurate
M-1990-34,0,1,Accurate
M-1990-35,1,0,Accurate
M-1990-36,1,1,Accurate
M-1990-37,2,1,Accurate
M-1990-38,4,1,Accurate
M-1990-39,0,1,Accurate
M-1990-40,2,1,Accurate
M-1990-41,0,0,Accurate
M-1990-42,2,0,Accurate
M-1990-43,1,2,Accurate
M-1990-44,1,0,Accurate
M-1990-45,0,0,Accurate
M-1990-46,0,1,Accurate
M-1990-47,0,1,Accurate
M-1990-48,2,3,Accurate
M-1990-49,1,1,Accurate
M-1990-50,1,1,Accurate
M-1990-51,2,1,Accurate
M-1990-52,1,0,Accurate
M-1994-01,1,0,Accurate
M-1994-02,2,2,Accurate
M-1994-03,1,1,Accurate
M-1994-04,0,1,Accurate
M-1994-05,1,3,Accurate
M-1994-06,1,0,Accurate
M-1994-07,1,0,Accurate
M-1994-08,2,2,Accurate
M-1994-09,2,0,Accurate
M-1994-10,2,1,Accurate
M-1994-11,4,0,Accurate
M-1994-12,1,1,Accurate
M-1994-13,3,0,Accurate
M-1994-14,1,4,Accurate
M-1994-15,2,1,Accurate
M-1994-16,1,0,Accurate
M-1994-17,0,0,Accurate
M-1994-18,2,1,Accurate
M-1994-19,3,0,Accurate
M-1994-20,3,1,Accurate
M-1994-21,1,0,Accurate
M-1994-22,2,1,Accurate
M-1994-23,2,1,Accurate
M-1994-24,4,0,Accurate
M-1994-25,0,2,Accurate
M-1994-26,0,1,Accurate
M-1994-27,1,3,Accurate
M-1994-28,3,2,Accurate
M-1994-29,1,1,Accurate
M-1994-30,0,0,Accurate
M-1994-31,6,1,Inaccurate
M-1994-32,1,1,Accurate
M-1994-33,0,1,Accurate
M-1994-34,1,2,Accurate
M-1994-35,0,2,Accurate
M-1994-36,0,2,Accurate
M-1994-37,3,2,Accurate
M-1994-38,3,0,Accurate
M-1994-39,1,3,Accurate
M-1994-40,3,2,Accurate
M-1994-41,2,0,Accurate
M-1994-42,1,0,Accurate
M-1994-43,1,2,Accurate
M-1994-44,1,1,Accurate
M-1994-45,2,1,Accurate
M-1994-46,2,3,Accurate
M-1994-47,2,1,Accurate
